"","Node","SolveSequenceProblems","DistinguishTypes","SolveGeometricProblems","InduceRulesGeometric","VisualGeometric","ModelGeometric","TableGeometric","ExtendGeometric","ExamplesGeometric","CommonRatio","AlgebraRulesGeometric","VerbalRulesGeometric","RecursiveRulesGeometric","ExplicitGeometric","Link","Rules","A.SolveSequenceProblems","A.DistinguishTypes","A.SolveGeometricProblems","A.InduceRulesGeometric","A.VisualGeometric","A.ModelGeometric","A.TableGeometric","A.ExtendGeometric","A.ExamplesGeometric","A.CommonRatio","A.AlgebraRulesGeometric","A.VerbalRulesGeometric","A.RecursiveRulesGeometric","A.ExplicitGeometric","Intercept","PriorWeight"
"SolveSequenceProblems","SolveSequenceProblems",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"normalLink","Compensatory",1.65960330347598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,"c(SolveSequenceProblems = 10)"
"DistinguishTypes","DistinguishTypes",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"normalLink","Compensatory",1.31872566159671,1.06893910574725,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446668275178666,"c(DistinguishTypes = 10)"
"SolveGeometricProblems","SolveGeometricProblems",1,0,1,0,0,0,0,0,0,0,0,0,0,0,"normalLink","Compensatory",1.12374478565811,0,0.871937931536601,0,0,0,0,0,0,0,0,0,0,0,-0.00111111111111123,"c(SolveGeometricProblems = 10)"
"InduceRulesGeometric","InduceRulesGeometric",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normalLink","Compensatory",0,0,1.25202868678775,0.960078006797464,0,0,0,0,0,0,0,0,0,0,0.3993,"c(InduceRulesGeometric = 10)"
"VisualGeometric","VisualGeometric",0,0,1,0,1,0,0,0,0,0,0,0,0,0,"normalLink","Compensatory",0,0,0.557054280324149,0,0.880945726597888,0,0,0,0,0,0,0,0,0,1.10295370370371,"c(VisualGeometric = 10)"
"ModelGeometric","ModelGeometric",0,0,1,0,0,1,0,0,0,0,0,0,0,0,"normalLink","Compensatory",0,0,0.438962312256217,0,0,0.998844474978531,0,0,0,0,0,0,0,0,-1.83339845563418,"c(ModelGeometric = 10)"
"TableGeometric","TableGeometric",0,0,1,0,0,0,1,0,0,0,0,0,0,0,"normalLink","Compensatory",0,0,0.818730753077982,0,0,0,1.54834484711618,0,0,0,0,0,0,0,0.570623341222,"c(TableGeometric = 10)"
"ExtendGeometric","ExtendGeometric",0,0,1,0,0,0,0,1,0,0,0,0,0,0,"normalLink","Compensatory",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.14641,"c(ExtendGeometric = 10)"
"ExamplesGeometric","ExamplesGeometric",0,0,1,0,0,0,0,0,1,0,0,0,0,0,"normalLink","Compensatory",0,0,1.38818897228941,0,0,0,0,0,0.852143788966212,0,0,0,0,0,0.64,"c(ExamplesGeometric = 10)"
"CommonRatio","CommonRatio",0,0,1,0,0,0,0,0,0,1,0,0,0,0,"normalLink","Compensatory",0,0,1.8282026638644,0,0,0,0,0,0,0.999999999999996,0,0,0,0,0.566666666666666,"c(CommonRatio = 10)"
"AlgebraRulesGeometric","AlgebraRulesGeometric",0,0,0,1,0,0,0,0,0,0,1,0,0,0,"normalLink","Compensatory",0,0,0,1.16118895852231,0,0,0,0,0,0,0.945959468906765,0,0,0,0.313703703703703,"c(AlgebraRulesGeometric = 10)"
"VerbalRulesGeometric","VerbalRulesGeometric",0,0,0,1,0,0,0,0,0,0,0,1,0,0,"normalLink","Compensatory",0,0,0,0.875173319042948,0,0,0,0,0,0,0,0.956528739103029,0,0,0.69742852816022,"c(VerbalRulesGeometric = 10)"
"RecursiveRulesGeometric","RecursiveRulesGeometric",0,0,0,0,0,0,0,0,0,0,1,0,1,0,"normalLink","Compensatory",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.14641,"c(RecursiveRulesGeometric = 10)"
"ExplicitGeometric","ExplicitGeometric",0,0,0,0,0,0,0,0,0,0,1,0,0,1,"normalLink","Compensatory",0,0,0,0,0,0,0,0,0,0,0.818730753077982,0,0,0.977946806997104,0.443666666666666,"c(ExplicitGeometric = 10)"
